Rauchmelder EZ Smoke detected;binary_sensor.smoke_ez_smoke_detected;binary_sensor.smoke_ez_smoke_detected
Rauchmelder EZ System hardware failure;binary_sensor.smoke_ez_system_hardware_failure;binary_sensor.smoke_ez_hardware_failure
Rauchmelder EZ Air temperature;sensor.smoke_ez_air_temperature;sensor.smoke_ez_air_temperature
Rauchmelder EZ Battery level;sensor.smoke_ez_battery_level;sensor.smoke_ez_battery_level
Rauchmelder EZ Status des Knotens;sensor.smoke_ez_status_des_knotens;sensor.smoke_ez_node_state
Rauchmelder EZ Zuletzt gesehen;sensor.smoke_ez_zuletzt_gesehen;sensor.smoke_ez_last_seen
Rauchmelder grünes Zimmer: Home Security - Tampering;binary_sensor.smoke_gruen_home_security_tampering_product_cover_removed;binary_sensor.smoke_gruen_tampering_removed
Rauchmelder grünes Zimmer: Low battery level;binary_sensor.smoke_gruen_low_battery_level;binary_sensor.smoke_gruen_low_battery_level
Rauchmelder grünes Zimmer: Power Management - Replace battery soon;binary_sensor.smoke_gruen_power_management_replace_battery_soon;binary_sensor.smoke_gruen_replace_battery_soon
Rauchmelder grünes Zimmer: Smoke Alarm - Smoke alarm test;binary_sensor.smoke_gruen_smoke_alarm_smoke_alarm_test;binary_sensor.smoke_gruen_smoke_alarm_test
Rauchmelder grünes Zimmer: Smoke Alarm - Smoke detected;binary_sensor.smoke_gruen_smoke_alarm_smoke_detected;binary_sensor.smoke_gruen_smoke_detected
Rauchmelder grünes Zimmer: System - System hardware failure;binary_sensor.smoke_gruen_system_system_hardware_failure;binary_sensor.smoke_gruen_hardware_failure
Rauchmelder grünes Zimmer Zuletzt gesehen;sensor.rauchmelder_grunes_zimmer_zuletzt_gesehen;sensor.smoke_gruen_last_seen
Rauchmelder grünes Zimmer: Air temperature;sensor.smoke_gruen_air_temperature;sensor.smoke_gruen_air_temperature
Rauchmelder grünes Zimmer;sensor.smoke_gruen_battery_level;sensor.smoke_gruen_battery_level
Rauchmelder grünes Zimmer: Heat Alarm - Heat sensor status;sensor.smoke_gruen_heat_alarm_heat_sensor_status;sensor.smoke_gruen_heat_sensor_state
Rauchmelder grünes Zimmer: Home Security - Cover status;sensor.smoke_gruen_home_security_cover_status;sensor.smoke_gruen_cover_state
Rauchmelder grünes Zimmer: Node Status;sensor.smoke_gruen_node_status;sensor.smoke_gruen_node_state
Rauchmelder grünes Zimmer: Power Management - Battery maintenance status;sensor.smoke_gruen_power_management_battery_maintenance_status;sensor.smoke_gruen_battery_maintenance_state
Rauchmelder grünes Zimmer: Smoke Alarm - Alarm status;sensor.smoke_gruen_smoke_alarm_alarm_status;sensor.smoke_gruen_alarm_state
Rauchmelder grünes Zimmer: Smoke Alarm - Sensor status;sensor.smoke_gruen_smoke_alarm_sensor_status;sensor.smoke_gruen_alarm_sensor_state
Rauchmelder grünes Zimmer: System - Hardware status;sensor.smoke_gruen_system_hardware_status;sensor.smoke_gruen_hardware_state
Rauchmelder Lydi: Home Security - Tampering;binary_sensor.smoke_lydi_home_security_tampering_product_cover_removed;binary_sensor.smoke_lydi_cover_removed
Rauchmelder Lydi: Low battery level;binary_sensor.smoke_lydi_low_battery_level;binary_sensor.smoke_lydi_low_battery_level
Rauchmelder Lydi: Power Management - Replace battery soon;binary_sensor.smoke_lydi_power_management_replace_battery_soon;binary_sensor.smoke_lydi_replace_battery_soon
Rauchmelder Lydi: Smoke Alarm - Smoke alarm test;binary_sensor.smoke_lydi_smoke_alarm_smoke_alarm_test;binary_sensor.smoke_lydi_smoke_alarm_test
Rauchmelder Lydi: Smoke Alarm - Smoke detected;binary_sensor.smoke_lydi_smoke_alarm_smoke_detected;binary_sensor.smoke_lydi_smoke_detected
Rauchmelder Lydi: System - System hardware failure;binary_sensor.smoke_lydi_system_system_hardware_failure;binary_sensor.smoke_lydi_hardware_failure
Rauchmelder Lydi Zuletzt gesehen;sensor.rauchmelder_lydi_zuletzt_gesehen;sensor.smoke_lydi_last_seen
Rauchmelder Lydi: Air temperature;sensor.smoke_lydi_air_temperature;sensor.smoke_lydi_air_temperature
Rauchmelder Lyd;sensor.smoke_lydi_battery_level;sensor.smoke_lydi_battery_level
Rauchmelder Lydi: Heat Alarm - Heat sensor status;sensor.smoke_lydi_heat_alarm_heat_sensor_status;sensor.smoke_lydi_heat_sensor_state
Rauchmelder Lydi: Home Security - Cover status;sensor.smoke_lydi_home_security_cover_status;sensor.smoke_lydi_cover_state
Rauchmelder Lydi: Node Status;sensor.smoke_lydi_node_status;sensor.smoke_lydi_node_state
Rauchmelder Lydi: Power Management - Battery maintenance status;sensor.smoke_lydi_power_management_battery_maintenance_status;sensor.smoke_lydi_battery_maintenance_state
Rauchmelder Lydi: Smoke Alarm - Alarm status;sensor.smoke_lydi_smoke_alarm_alarm_status;sensor.smoke_lydi_alarm_state
Rauchmelder Lydi: Smoke Alarm - Sensor status;sensor.smoke_lydi_smoke_alarm_sensor_status;sensor.smoke_lydi_alarm_sensor_state
Rauchmelder Lydi: System - Hardware status;sensor.smoke_lydi_system_hardware_status;sensor.smoke_lydi_system_hardware_state
Rauchmelder OG Flur: Home Security - Tampering;binary_sensor.smoke_og_flur_home_security_tampering_product_cover_removed;binary_sensor.smoke_og_flur_cover_removed
Rauchmelder OG Flur: Low battery level;binary_sensor.smoke_og_flur_low_battery_level;binary_sensor.smoke_og_flur_low_battery_level
Rauchmelder OG Flur: Power Management - Replace battery soon;binary_sensor.smoke_og_flur_power_management_replace_battery_soon;binary_sensor.smoke_og_flur_replace_battery_soon
Rauchmelder OG Flur: Smoke Alarm - Smoke alarm test;binary_sensor.smoke_og_flur_smoke_alarm_smoke_alarm_test;binary_sensor.smoke_og_flur_smoke_alarm_test
Rauchmelder OG Flur: Smoke Alarm - Smoke detected;binary_sensor.smoke_og_flur_smoke_alarm_smoke_detected;binary_sensor.smoke_og_flur_smoke_detected
Rauchmelder OG Flur: System - System hardware failure;binary_sensor.smoke_og_flur_system_system_hardware_failure;binary_sensor.smoke_og_flur_hardware_failure
Rauchmelder OG Flur Zuletzt gesehen;sensor.rauchmelder_og_flur_zuletzt_gesehen;sensor.smoke_og_flur_last_seen
Rauchmelder OG Flur: Air temperature;sensor.smoke_og_flur_air_temperature;sensor.smoke_og_flur_air_temperature
Rauchmelder OG Flur: Battery level;sensor.smoke_og_flur_battery_level;sensor.smoke_og_flur_battery_level
Rauchmelder OG Flur: Heat Alarm - Heat sensor status;sensor.smoke_og_flur_heat_alarm_heat_sensor_status;sensor.smoke_og_flur_heat_sensor_state
Rauchmelder OG Flur: Home Security - Cover status;sensor.smoke_og_flur_home_security_cover_status;sensor.smoke_og_flur_cover_state
Rauchmelder OG Flur: Node Status;sensor.smoke_og_flur_node_status;sensor.smoke_og_flur_node_state
Rauchmelder OG Flur: Power Management - Battery maintenance status;sensor.smoke_og_flur_power_management_battery_maintenance_status;sensor.smoke_og_flur_battery_maintenance_state
Rauchmelder OG Flur: Smoke Alarm - Alarm status;sensor.smoke_og_flur_smoke_alarm_alarm_status;sensor.smoke_og_flur_alarm_state
Rauchmelder OG Flur: Smoke Alarm - Sensor status;sensor.smoke_og_flur_smoke_alarm_sensor_status;sensor.smoke_og_flur_alarm_sensor_state
Rauchmelder OG Flur: System - Hardware status;sensor.smoke_og_flur_system_hardware_status;sensor.smoke_og_flur_hardware_state
Rauchmelder rosa Zimmer: Home Security - Tampering;binary_sensor.smoke_rosa_home_security_tampering_product_cover_removed;binary_sensor.smoke_rosa_cover_removed
Rauchmelder rosa Zimmer: Low battery level;binary_sensor.smoke_rosa_low_battery_level;binary_sensor.smoke_rosa_low_battery_level
Rauchmelder rosa Zimmer: Power Management - Replace battery soon;binary_sensor.smoke_rosa_power_management_replace_battery_soon;binary_sensor.smoke_rosa_replace_battery_soon
Rauchmelder rosa Zimmer: Smoke Alarm - Smoke alarm test;binary_sensor.smoke_rosa_smoke_alarm_smoke_alarm_test;binary_sensor.smoke_rosa_smoke_alarm_test
Rauchmelder rosa Zimmer: Smoke Alarm - Smoke detected;binary_sensor.smoke_rosa_smoke_alarm_smoke_detected;binary_sensor.smoke_rosa_smoke_detected
Rauchmelder rosa Zimmer: System - System hardware failure;binary_sensor.smoke_rosa_system_system_hardware_failure;binary_sensor.smoke_rosa_hardware_failure
